region,epid,n_lepi,n_plant,sN_multidiv,n_red_list_lepi_pa,n_red_list_plant_pa,av_threat_lepi_pa,av_threat_plant_pa,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,cwm_av_crops,cwm_n_crop_pest,biomass_lepi,sum_abund_lepi
ALB,AEG01,2,28,0.7086956521739131,0,1,0,0.33,44,72,12,0,0.21428571428571427,0.9915281677069584,0,0,0.3096841366571318,2
ALB,AEG02,3,16,0.49782608695652175,0,0,0,0,57,69,10,0,0.20833333333333337,0.746226787015626,0,0,1.117932905451435,5
ALB,AEG03,3,22,0.6282608695652174,1,0,0.17,0,46,71,16,0,0.24242424242424243,0.8485830209948683,0.34439086758819626,0,0.946731742315262,10
ALB,AEG04,5,16,0.5978260869565217,1,1,0.17,0.33,44,72,17,0,0.2125,-0.9230144359917924,0.17905223175104135,0,0.6635557028211652,6
ALB,AEG05,5,18,0.6413043478260869,0,1,0,0.33,55,74,15,0,0.16666666666666666,-1.009432306238164,0.27055115271933267,0,2.1835473803274428,12
ALB,AEG06,5,24,0.7717391304347826,0,1,0,0.33,44,71,16,0,0.13333333333333333,0.6178199424530949,0,0,2.417334834302722,13
ALB,AEG07,11,37,1.3543478260869566,7,7,0.48,0.36,28,53,73,0,0.17936117936117937,0.9529863518685638,0,0,18.472660107483485,211
ALB,AEG08,9,37,1.2543478260869565,2,0,0.42,0,41,68,77,0,0.23123123123123124,3.967791102511912,2.1050228603102266,0.13117557730323445,6.450992021436481,32
ALB,AEG09,20,43,1.9347826086956523,12,6,0.41,0.25,30,58,141,1,0.16395348837209303,2.379907140930661,0.384530044900696,0,11.932482597838687,111
ALB,AEG10,12,29,1.2304347826086957,4,1,0.3,0.33,38,69,37,0,0.10632183908045977,1.9017727025670952,1.317618759873034,0.10936920835352495,3.030536433091708,27
ALB,AEG11,2,28,0.7086956521739131,0,2,0,0.33,56,68,11,0,0.19642857142857145,-0.5658627834815776,1.5,0,0.4327407877246686,2
ALB,AEG12,6,27,0.8869565217391304,2,1,0.17,0.33,42,71,31,0,0.191358024691358,-1.7297472438632249,1.1666666666666667,0.16666666666666669,1.050252470749936,7
ALB,AEG13,6,23,0.8,1,0,0.17,0,47,72,31,0,0.2246376811594203,0.1709948685982933,3.3771573092181946,0.20438239758848617,1.520080815273308,9
ALB,AEG14,7,20,0.7847826086956522,0,2,0,0.33,53,74,41,0,0.29285714285714287,3.349778046888418,4.173200794258091,0.244800288821124,2.345591299803066,9
ALB,AEG15,5,23,0.75,0,2,0,0.33,55,72,32,0,0.2782608695652174,0.9905544727016028,2.850109603700273,0.16207652439312228,1.4129097956456955,8
ALB,AEG17,4,29,0.8304347826086957,0,0,0,0,45,72,26,0,0.22413793103448276,0.11148131186060516,1.75,0.25,0.66792059144877,4
ALB,AEG18,4,23,0.7,1,0,0.17,0,54,73,26,0,0.2826086956521739,0.8564977784900959,3.5,0.25,0.8419137465008714,4
ALB,AEG19,2,17,0.4695652173913043,1,1,0.17,0.33,24,74,3,0,0.08823529411764706,NA,3.5,0.5,0.39509838806572983,2
ALB,AEG20,3,22,0.6282608695652174,0,0,0,0,54,73,11,0,0.16666666666666666,0.176557719724955,0,0,2.3655036014230273,15
ALB,AEG21,3,21,0.6065217391304347,0,1,0,0.33,49,75,17,0,0.2698412698412698,1.7425874202664453,3.068372402162428,0,0.9368415708345202,4
ALB,AEG22,12,34,1.3391304347826083,5,2,0.47,0.42,40,62,93,0,0.22794117647058823,1.9237819392703135,0.546224747313448,0.03504819131186056,24.911165181569174,122
ALB,AEG23,4,29,0.8304347826086957,0,2,0,0.33,58,70,35,0,0.3017241379310345,0.3748619257444859,4.839619736607675,0.34568712404340535,1.1150037794589458,5
ALB,AEG24,3,17,0.5195652173913043,0,1,0,0.33,49,76,9,0,0.17647058823529413,0.32786709350586457,2.912204367471132,0.20801459767650943,1.9492538992392048,14
ALB,AEG25,12,46,1.6,5,5,0.27,0.27,34,56,90,0,0.16304347826086957,1.927049037699453,0,0,6.81487323503306,77
ALB,AEG26,16,37,1.6043478260869566,8,7,0.4,0.38,34,53,114,0,0.19256756756756757,2.101099719602737,0.6184223628877961,0.0294486839470379,15.108178174384715,140
ALB,AEG27,14,35,1.4608695652173913,7,7,0.31,0.26,33,57,105,0,0.21428571428571427,1.1283562014828548,0.41008172023735073,0,13.309415171567167,146
ALB,AEG28,8,45,1.3782608695652174,2,3,0.17,0.33,43,64,75,0,0.20833333333333337,3.707017071013353,0.46717413635815697,0,6.478509888641578,49
ALB,AEG30,10,34,1.2391304347826086,5,1,0.27,0.33,40,72,63,0,0.18529411764705883,1.856214304452346,0.7587137302836944,0.05058091535224628,13.065944743129576,103
ALB,AEG31,4,32,0.8956521739130434,0,1,0,0.33,55,67,23,0,0.1796875,2.5724292886389346,1.4812916391712878,0.10580654565509198,5.628159006963726,38
ALB,AEG32,15,26,1.3152173913043477,7,1,0.38,0.33,32,74,55,1,0.14102564102564102,1.103506158220541,0,0,40.97804963192127,371
ALB,AEG33,13,38,1.4760869565217392,4,2,0.3,0.42,40,68,104,0,0.21052631578947367,2.7914158884776734,0.3745160642700385,0,10.581522566993204,105
ALB,AEG34,10,27,1.0869565217391304,3,1,0.34,0.33,41,70,60,0,0.2222222222222222,1.7736590858490493,0.7609215191216779,0.05435153708011985,7.82380719385116,55
ALB,AEG36,2,22,0.5782608695652174,1,2,0.17,0.33,50,73,7,0,0.1590909090909091,-0.6392318531432356,0,0,0.425374480764416,3
ALB,AEG37,5,23,0.75,1,1,0.17,0.33,45,69,19,0,0.16521739130434782,2.1171060378044935,3.760096866771869,0.17905223175104135,1.1012177920531625,6
ALB,AEG38,6,26,0.8652173913043477,2,1,0.17,0.33,45,72,31,0,0.1987179487179487,1.9667648305985033,1.9526006195579089,0.1394714728255649,1.7014985430409768,10
ALB,AEG39,2,18,0.491304347826087,0,1,0,0.33,51,73,6,0,0.16666666666666666,0.7291610573986842,0,0,0.39247124526983695,2
ALB,AEG40,4,28,0.808695652173913,0,2,0,0.33,52,70,26,0,0.23214285714285715,1.1127063593706572,2.707969650641791,0.1934264036172708,1.1163582400482728,7
ALB,AEG41,6,27,0.8869565217391304,1,1,0.17,0.33,43,72,33,0,0.2037037037037037,1.0052032288893968,0,0,0.9888561039537068,7
ALB,AEG42,9,21,0.9065217391304348,1,1,0.17,0.33,46,72,40,0,0.21164021164021163,0.08352061054293117,0.07647121675597586,0,2.7002202938669457,18
ALB,AEG43,9,27,1.0369565217391306,2,2,0.17,0.33,47,74,55,0,0.2263374485596708,1.7912288939634944,2.199255871705867,0.15708970512184764,6.059868353181486,36
ALB,AEG44,9,29,1.0804347826086955,2,2,0.17,0.33,40,72,43,0,0.16475095785440613,0.22281876500187467,0.6091271739486206,0,2.69837630752873,19
ALB,AEG45,4,25,0.7434782608695651,1,2,0.17,0.33,42,70,20,0,0.2,0.3521532317788631,1.5267300438987208,0.21810429198553155,0.6338295808349936,5
ALB,AEG46,6,24,0.8217391304347825,0,1,0,0.33,54,72,30,0,0.20833333333333337,0.38214740610206555,1.5553944091269565,0.10369296060846377,3.534548991724848,17
ALB,AEG47,17,41,1.741304347826087,10,3,0.52,0.17,30,60,158,0,0.2266857962697274,2.0325998873217563,0,0,8.522370054675998,77
ALB,AEG48,12,33,1.317391304347826,8,7,0.48,0.31,26,52,43,2,0.1085858585858586,0.5298087271980616,0.43143537216418026,0,10.980799120124178,205
ALB,AEG49,16,38,1.626086956521739,8,2,0.36,0.25,34,66,101,0,0.16611842105263158,2.483783925570977,0.31209088319835093,0,22.025241467863637,195
SCH,SEG01,5,9,1.1180555555555556,0,0,0,0,93,71,18,0,0.4,1.027626167926788,3.7399755003376054,0.1581795909397823,1.9951249737083423,11
SCH,SEG02,3,10,0.9583333333333331,0,0,0,0,94,73,2,0,0.06666666666666667,NA,1.3333333333333337,0,1.0397551241472394,4
SCH,SEG03,5,12,1.3055555555555556,0,0,0,0,93,70,15,0,0.25,0.04326196625290866,0.4692787260227565,0,1.782387802046063,11
SCH,SEG04,4,7,0.8819444444444444,0,0,0,0,92,77,7,0,0.25,0.10709427169063188,2.5921638219317304,0.1480409554829326,3.0298374465427873,12
SCH,SEG05,3,8,0.8333333333333333,0,0,0,0,94,74,8,0,0.3333333333333333,-0.7428367544805444,5.299915967371466,0.2789429456511298,0.8084962808227396,4
SCH,SEG06,4,10,1.0694444444444444,0,0,0,0,94,68,11,0,0.275,-0.11146635399939316,0.632799566768314,0,2.4663593171667517,21
SCH,SEG08,4,9,1.0069444444444444,0,0,0,0,92,73,12,0,0.3333333333333333,-0.21401832887457428,0.6913742480868107,0,0.7203988250302955,5
SCH,SEG09,1,7,0.5486111111111112,0,0,0,0,95,69,2,0,0.2857142857142857,NA,2,0,0.17525937247247717,2
SCH,SEG10,4,9,1.0069444444444444,0,0,0,0,93,73,7,0,0.19444444444444445,1.1223148701978198,0.8752362884943047,0,2.0295952014460785,9
SCH,SEG11,4,10,1.0694444444444444,0,0,0,0,94,69,7,0,0.175,0.3479859709888183,0.8047132844999544,0,2.174132393797838,19
SCH,SEG12,4,5,0.7569444444444444,0,0,0,0,94,80,11,0,0.55,0.9682114704541792,3.9013960542590618,0.1934264036172708,1.5786495729885923,8
SCH,SEG13,2,8,0.7222222222222222,0,0,0,0,94,74,3,0,0.1875,NA,10.368288369533897,0.5578858913022596,1.0283584127561984,5
SCH,SEG14,3,6,0.7083333333333333,0,0,0,0,94,69,6,0,0.3333333333333333,-1.0135228310340774,6.333333333333334,0.33333333333333337,0.6048511046161491,4
SCH,SEG15,6,9,1.2291666666666663,0,0,0,0,89,73,7,1,0.12962962962962962,-0.11339173063729446,1.7521470149209692,0,2.582235475220062,14
SCH,SEG16,4,6,0.8194444444444444,0,0,0,0,92,77,6,0,0.25,0.5902231239020358,4.5347265273899735,0.21593935844714157,2.8241799146522335,13
SCH,SEG17,5,10,1.1805555555555556,0,0,0,0,92,69,11,0,0.22,-0.5561451466546272,4.164842794316794,0.18275885213453427,3.9527371969080023,36
SCH,SEG19,4,11,1.1319444444444444,0,0,0,0,90,73,10,0,0.2272727272727273,1.318276997093505,0.5366486732967418,0,1.442811137320145,11
SCH,SEG20,3,7,0.7708333333333333,0,0,0,0,92,71,3,0,0.14285714285714285,NA,3.115771782604519,0.2789429456511298,1.0478288042583663,5
SCH,SEG21,4,8,0.9444444444444444,0,0,0,0,85,67,13,0,0.40625,-1.528450032302484,0.5,0,0.4786629347009076,6
SCH,SEG22,5,7,0.9930555555555556,0,0,0,0,92,68,13,0,0.37142857142857144,1.4419478052316324,5.642475541079648,0.3826803184943108,2.4869459310503137,10
SCH,SEG23,2,3,0.4097222222222222,0,0,0,0,95,67,1,0,0.16666666666666666,NA,0.8113677421644259,0,0.5913025186577916,7
SCH,SEG24,6,9,1.2291666666666663,0,0,0,0,93,63,12,0,0.2222222222222222,0.8855751080946741,2.9228786562009317,0.13183980802870454,1.9370268129825376,15
SCH,SEG25,5,12,1.3055555555555556,0,0,0,0,92,74,18,0,0.3,2.5881366197335005,0.7209368558567965,0,4.702542884166274,28
SCH,SEG26,6,10,1.2916666666666663,0,0,0,0,88,72,13,1,0.21666666666666667,0.6804163759659914,1.5730286407756335,0,2.941021629485271,31
SCH,SEG28,9,9,1.5625,0,0,0,0,89,73,18,1,0.2222222222222222,0.3436970944169158,1.258721384142144,0,3.5142600144674696,26
SCH,SEG29,6,9,1.2291666666666663,0,0,0,0,92,74,6,0,0.1111111111111111,0.31246069453217706,0.7210570543488701,0,1.788539752911648,10
SCH,SEG31,5,10,1.1805555555555556,0,0,0,0,89,66,19,0,0.38,2.4431210963526784,0.19847539936975103,0,2.3687355272981794,30
SCH,SEG32,2,9,0.7847222222222222,0,0,0,0,90,59,8,0,0.4444444444444444,0.6804482853491217,0,0,0.4808525581302655,4
SCH,SEG33,6,7,1.1041666666666663,0,0,0,0,92,73,3,0,0.07142857142857142,NA,0.8910102688038912,0.079768688571216,3.465613618864738,28
SCH,SEG34,2,6,0.5972222222222222,0,0,0,0,94,72,3,0,0.25,NA,0.8113677421644259,0,1.1650994497713163,10
SCH,SEG35,3,5,0.6458333333333333,0,0,0,0,94,77,4,0,0.26666666666666666,0.7019827457217059,4.742030076069207,0.2789429456511298,0.5499836190000905,4
SCH,SEG36,9,10,1.625,0,0,0,0,90,72,30,0,0.3333333333333333,1.7462020618042746,1.445027590745057,0.0611164092331939,6.2299917259196755,44
SCH,SEG37,6,15,1.6041666666666663,0,0,0,0,92,67,43,0,0.4777777777777778,1.705474348199121,1.744432443325109,0.0824014465429736,3.370710231092473,42
SCH,SEG38,8,12,1.6388888888888888,0,0,0,0,91,73,31,0,0.3229166666666667,2.724581218425057,0.9082179580213944,0.06896151329046524,6.615209949115272,61
SCH,SEG39,5,13,1.3680555555555556,0,0,0,0,93,67,30,0,0.4615384615384616,1.5244916240566189,0.4659800028906792,0,2.11462049373663,16
SCH,SEG40,4,16,1.4444444444444444,0,0,0,0,93,63,26,0,0.40625,0.7963884764335162,0.2789429456511298,0,2.609310403318476,16
SCH,SEG41,6,7,1.1041666666666663,0,0,0,0,88,76,16,0,0.380952380952381,1.1436766233559186,0.24426729022790453,0,3.169213198033052,38
SCH,SEG42,7,11,1.4652777777777777,0,0,0,0,91,71,28,0,0.3636363636363637,0.13374083628469097,3.014628544974607,0.19174472450763863,5.725492527869451,56
SCH,SEG43,3,12,1.0833333333333333,0,0,0,0,94,68,16,0,0.4444444444444444,0.5125378611919674,0.8,0,1.1969095894654125,7
SCH,SEG46,5,6,0.9305555555555556,0,0,0,0,93,74,8,0,0.26666666666666666,0.7555234231219012,6.333428376913146,0.40369440861835026,2.4225256598080644,12
SCH,SEG47,8,10,1.5138888888888888,0,0,0,0,89,77,35,0,0.4375,0.34675063196402556,0.4807047028992468,0,3.235629810096645,19
SCH,SEG48,5,11,1.2430555555555556,0,0,0,0,92,67,19,0,0.34545454545454546,0.2575548917447577,1.600852788159153,0.17284356202170267,2.3422597767969915,24
SCH,SEG49,5,12,1.3055555555555556,0,0,0,0,85,68,27,0,0.45,0.05780743849704391,1.3574153741342423,0.12152412607595545,1.8515524409656032,13
